Model,EM,F1,BLEU,Semantic,Grounding,Hallucination,Latency (sec)
Baseline (LLaMA3),0.0,0.43300613258083753,0.24917903098497254,0.6706941,0.664020443346678,0.33597955665332213,3.0125903725624084
Fine-tuned (LoRA),0.0,0.32210462316932464,0.189641557530596,0.57294255,0.7344094933696472,0.2655905066303529,6.318950176239014
